,string,start_ms,end_ms,latency_ms
0,Go,3112.7625,3530.0937,417.3312000000001
1,bid,3530.2031,3734.2751,204.07199999999966
2,thy,3734.3313,3939.4404,205.10910000000013
3,"mistress,",3939.4888,4143.1529,203.66409999999996
4,when,4143.3453,4349.0959,205.7506000000003
5,my,4349.1646,4553.626,204.46140000000014
6,drink,4553.7318,4739.0541,185.32230000000072
7,is,4739.1678,4946.4496,207.28179999999975
8,"ready,",4946.4851,5167.6707,221.1855999999998
9,She,5167.7374,5372.9984,205.26100000000042
10,strike,5373.0659,5577.445,204.3791000000001
11,upon,5577.5105,5783.0815,205.5709999999999
12,the,5783.1603,5998.1058,214.94550000000072
13,bell.,5998.1473,6172.4855,174.33820000000014
14,Get,6172.5807,6341.4859,168.90519999999924
15,thee,6341.5394,6601.6845,260.14510000000064
16,to,6601.7513,6786.6925,184.9412000000002
17,bed.,6786.7832,6960.902,174.1188000000002
18,Servant,6960.9421,7433.442,472.4998999999998
19,exits.,7433.5299,7607.097,173.5670999999993
20,Is,7607.1832,7780.9276,173.7443999999996
21,this,7781.066,7965.831,184.76500000000033
22,a,7965.9301,8139.7159,173.78580000000056
23,dagger,8139.8852,8311.4065,171.52129999999943
24,which,8311.506,8486.6369,175.1309000000001
25,I,8486.7357,8965.8486,479.1129000000001
26,see,8965.9513,9139.5443,173.59299999999894
27,before,9139.6812,9312.7265,173.04529999999977
28,"me,",9312.7973,9479.7611,166.96379999999954
29,The,9479.8683,9649.3733,169.5049999999992
30,handle,9649.443,9817.3009,167.85790000000088
31,toward,9817.3443,9989.2869,171.9425999999985
32,my,9989.3705,10166.7908,177.42029999999977
33,hand?,10166.8852,10335.9909,169.10570000000007
34,"Come,",10336.0999,10504.2718,168.1719000000012
35,let,10504.361,10671.3021,166.9411
36,me,10671.3617,10845.5599,174.19820000000072
37,clutch,10845.6623,11012.2751,166.6128000000008
38,thee.,11012.3582,11186.2153,173.85709999999926
39,I,11186.3031,11661.2855,474.9824000000008
40,have,11661.3871,11830.3285,168.9413999999997
41,thee,11830.4055,11999.8802,169.47469999999885
42,"not,",11999.9929,12166.3148,166.32190000000082
43,and,12166.3907,12335.0815,168.6908000000003
44,yet,12335.1166,12499.2789,164.16229999999996
45,I,12499.3196,12673.1838,173.86419999999998
46,see,12673.2524,12847.8578,174.60540000000037
47,thee,12847.9272,13015.6867,167.75950000000012
48,still.,13015.7292,13182.3799,166.65070000000014
49,Art,13182.4671,13351.2666,168.799500000001
50,thou,13351.356,13526.3183,174.96230000000105
51,"not,",13526.4032,13696.4079,170.0046999999995
52,fatal,13696.4423,13863.2751,166.83280000000013
53,"vision,",13863.3469,14039.3966,176.04969999999958
54,sensible,14039.5014,14211.7881,172.28670000000056
55,To,14211.8543,14381.9998,170.14549999999872
56,feeling,14382.0669,14548.8049,166.73799999999937
57,as,14548.8793,14720.5179,171.63860000000022
58,to,14720.5535,14886.1284,165.57489999999962
59,sight?,14886.2551,15062.4843,176.22919999999976
60,Or,15062.828,15240.6314,177.8034000000007
61,art,15240.7964,15728.203,487.40660000000025
62,thou,15728.2449,16197.9991,469.7542000000012
63,but,16198.1018,16366.8432,168.74139999999898
64,A,16367.0075,16540.5037,173.4962000000014
65,dagger,16540.6755,16713.2058,172.53029999999853
66,of,16713.3005,16884.4362,171.1356999999989
67,the,16884.5294,17063.5318,179.00240000000122
68,"mind,",17063.5996,17239.6505,176.05089999999836
69,a,17239.7191,17406.439,166.71990000000005
70,false,17406.506,17580.6177,174.11169999999765
71,creation,17580.7847,17756.6746,175.8898999999983
72,Proceeding,17756.7204,17963.2823,206.5619000000006
73,from,17963.3767,18143.3341,179.95739999999932
74,the,18143.3752,18313.7983,170.42309999999998
75,heat-oppressèd,18313.8655,18483.6759,169.81039999999848
76,brain?,18483.7406,18650.6152,166.8745999999992
77,I,18650.684,18820.3566,169.67259999999806
78,see,18820.5002,18994.5304,174.03020000000106
79,thee,18994.5973,19183.1149,188.51759999999922
80,"yet,",19183.1847,19351.4701,168.28539999999703
81,in,19351.5392,19520.98,169.4408000000003
82,form,19521.0469,19693.6896,172.64270000000033
83,as,19693.777,19868.9106,175.13360000000102
84,palpable,19869.0532,20044.8642,175.8110000000015
85,As,20045.0499,20225.0976,180.04769999999917
86,this,20225.2501,20395.4588,170.20869999999923
