,string,start_ms,end_ms,latency_ms
0,Go,1005.125,1017.5929,12.467899999999986
1,bid,1017.6381,1021.6044,3.9663000000000466
2,thy,1021.6384,1025.2861,3.647699999999986
3,"mistress,",1025.3221,1029.5631,4.2409999999999854
4,when,1029.5976,1033.3796,3.7819999999999254
5,my,1033.4133,1037.5503,4.137000000000171
6,drink,1037.5851,1041.4061,3.8209999999999127
7,is,1041.442,1046.0177,4.575700000000097
8,"ready,",1046.0718,1049.9017,3.8298999999999523
9,She,1049.9375,1053.7567,3.81919999999991
10,strike,1053.7891,1057.5951,3.80600000000004
11,upon,1057.6463,1061.761,4.114699999999857
12,the,1061.7956,1065.26,3.4644000000000688
13,bell.,1065.3217,1068.9488,3.6270999999999276
14,Get,1068.9818,1072.4361,3.4542999999998756
15,thee,1072.4679,1077.0562,4.58829999999989
16,to,1077.0947,1081.2599,4.165199999999913
17,bed.,1081.2972,1084.8298,3.532600000000002
18,Servant,1084.8627,1088.7107,3.8480000000001837
19,exits.,1088.8521,1092.6753,3.8232000000000426
20,Is,1092.7093,1096.0652,3.3559000000000196
21,this,1096.0978,1101.1342,5.036399999999958
22,a,1101.1689,1104.7883,3.6194000000000415
23,dagger,1104.8217,1108.6278,3.806100000000015
24,which,1108.6638,1112.1207,3.456899999999905
25,I,1112.1551,1115.7412,3.5860999999999876
26,see,1115.7777,1119.6527,3.875
27,before,1119.6901,1124.4462,4.75610000000006
28,"me,",1124.489,1128.5491,4.06009999999992
29,The,1128.588,1132.3061,3.7181000000000495
30,handle,1132.3416,1136.1164,3.774800000000141
31,toward,1136.1525,1140.1141,3.9616000000000895
32,my,1140.1496,1143.8276,3.678000000000111
33,hand?,1143.8645,1148.05,4.185500000000047
34,"Come,",1148.0853,1151.9386,3.85329999999999
35,let,1151.977,1155.989,4.011999999999944
36,me,1156.0445,1159.475,3.430499999999938
37,clutch,1159.5102,1163.6622,4.152000000000044
38,thee.,1163.7025,1167.8071,4.104599999999891
39,I,1167.8437,1172.0676,4.223900000000185
40,have,1172.1233,1175.6335,3.5101999999999407
41,thee,1175.6694,1179.3873,3.7179000000000997
42,"not,",1179.4221,1183.812,4.389899999999898
43,and,1183.8539,1187.9598,4.10590000000002
44,yet,1187.9995,1191.4614,3.461900000000014
45,I,1191.4969,1195.2154,3.718499999999949
46,see,1195.2496,1199.1726,3.923000000000002
47,thee,1199.2092,1204.1267,4.917500000000018
48,still.,1204.1827,1207.9051,3.7223999999998796
49,Art,1207.9405,1211.6103,3.669800000000123
50,thou,1211.6458,1215.3381,3.692299999999932
51,"not,",1215.3735,1219.2273,3.853800000000092
52,fatal,1219.2654,1222.736,3.470600000000104
53,"vision,",1222.7711,1226.6948,3.9237000000000535
54,sensible,1226.7294,1230.649,3.919599999999946
55,To,1230.6892,1234.3683,3.679100000000062
56,feeling,1234.4046,1237.864,3.4593999999999596
57,as,1237.9,1241.2921,3.3920999999998003
58,to,1241.3369,1246.2774,4.940499999999929
59,sight?,1246.3834,1251.9583,5.574900000000071
60,Or,1251.9974,1256.8466,4.84920000000011
61,art,1256.9171,1262.4166,5.4995000000001255
62,thou,1262.455,1266.9806,4.525600000000168
63,but,1267.0499,1272.265,5.21510000000012
64,A,1272.3048,1277.7328,5.428000000000111
65,dagger,1277.7862,1282.7312,4.944999999999936
66,of,1282.7704,1286.5528,3.782399999999825
67,the,1286.6087,1291.5379,4.929200000000037
68,"mind,",1291.6072,1296.1955,4.5883000000001175
69,a,1296.2452,1300.654,4.408799999999928
70,false,1300.703,1304.9768,4.273799999999937
71,creation,1305.0593,1311.7313,6.6720000000000255
72,Proceeding,1311.7814,1316.1515,4.370099999999866
73,from,1316.2034,1320.1475,3.944099999999935
74,the,1320.1857,1324.8027,4.616999999999962
75,heat-oppressèd,1324.8413,1330.5949,5.753600000000006
76,brain?,1330.6543,1335.0432,4.388900000000149
77,I,1335.0918,1339.1528,4.061000000000149
78,see,1339.1912,1343.6336,4.442399999999907
79,thee,1343.6924,1348.4656,4.773200000000088
80,"yet,",1348.5467,1352.9504,4.403699999999844
81,in,1352.9869,1357.0444,4.057499999999891
82,form,1357.094,1361.4032,4.309199999999919
83,as,1361.438,1365.1413,3.7032999999998992
84,palpable,1365.1822,1368.7765,3.5942999999999756
85,As,1368.8132,1372.6134,3.8001999999999043
86,this,1372.6582,1376.7787,4.120499999999993
87,which,1376.8325,1381.0863,4.253799999999956
88,now,1381.1246,1384.7611,3.6364999999998417
89,I,1384.8117,1388.5089,3.697200000000066
90,draw.He,1388.5455,1393.7538,5.208300000000008
91,draws,1393.8606,1397.4209,3.5603000000000975
92,his,1397.4574,1400.9985,3.541099999999915
93,dagger.,1401.0337,1404.4678,3.434099999999944
94,Thou,1404.5019,1408.5847,4.082800000000134
95,marshal’st,1408.619,1412.6655,4.046500000000151
96,me,1412.7027,1417.425,4.722299999999905
97,the,1417.4648,1421.0328,3.5679999999999836
98,way,1421.0895,1424.7743,3.6847999999999956
99,that,1424.8086,1428.667,3.858399999999847
100,I,1428.7241,1433.2328,4.50870000000009
101,was,1433.2838,1437.0504,3.766600000000153
102,"going,",1437.0978,1440.7752,3.677400000000034
103,And,1440.8095,1444.7789,3.9693999999999505
104,such,1444.8178,1448.3833,3.565499999999929
105,an,1448.4438,1451.9342,3.4903999999999087
106,instrument,1451.9887,1456.3813,4.392599999999902
107,I,1456.4232,1459.9572,3.5340000000001055
108,was,1459.9906,1463.4712,3.4805999999998676
109,to,1463.5087,1467.0729,3.5641999999998006
