,string,start_ms,end_ms,latency_ms,type
0,Go,1005.125,1017.5929,12.4679,API Rest
1,bid,1017.6381,1021.6044,3.9663,API Rest
2,thy,1021.6384,1025.2861,3.6477,API Rest
3,"mistress,",1025.3221,1029.5631,4.241,API Rest
4,when,1029.5976,1033.3796,3.782,API Rest
5,my,1033.4133,1037.5503,4.137,API Rest
6,drink,1037.5851,1041.4061,3.821,API Rest
7,is,1041.442,1046.0177,4.5757,API Rest
8,"ready,",1046.0718,1049.9017,3.8299,API Rest
9,She,1049.9375,1053.7567,3.8192,API Rest
10,strike,1053.7891,1057.5951,3.806,API Rest
11,upon,1057.6463,1061.761,4.1147,API Rest
12,the,1061.7956,1065.26,3.4644,API Rest
13,bell.,1065.3217,1068.9488,3.6271,API Rest
14,Get,1068.9818,1072.4361,3.4543,API Rest
15,thee,1072.4679,1077.0562,4.5883,API Rest
16,to,1077.0947,1081.2599,4.1652,API Rest
17,bed.,1081.2972,1084.8298,3.5326,API Rest
18,Servant,1084.8627,1088.7107,3.848,API Rest
19,exits.,1088.8521,1092.6753,3.8232,API Rest
20,Is,1092.7093,1096.0652,3.3559,API Rest
21,this,1096.0978,1101.1342,5.0364,API Rest
22,a,1101.1689,1104.7883,3.6194,API Rest
23,dagger,1104.8217,1108.6278,3.8061,API Rest
24,which,1108.6638,1112.1207,3.4569,API Rest
25,I,1112.1551,1115.7412,3.5861,API Rest
26,see,1115.7777,1119.6527,3.875,API Rest
27,before,1119.6901,1124.4462,4.7561,API Rest
28,"me,",1124.489,1128.5491,4.0601,API Rest
29,The,1128.588,1132.3061,3.7181,API Rest
30,handle,1132.3416,1136.1164,3.7748,API Rest
31,toward,1136.1525,1140.1141,3.9616,API Rest
32,my,1140.1496,1143.8276,3.678,API Rest
33,hand?,1143.8645,1148.05,4.1855,API Rest
34,"Come,",1148.0853,1151.9386,3.8533,API Rest
35,let,1151.977,1155.989,4.012,API Rest
36,me,1156.0445,1159.475,3.4305,API Rest
37,clutch,1159.5102,1163.6622,4.152,API Rest
38,thee.,1163.7025,1167.8071,4.1046,API Rest
39,I,1167.8437,1172.0676,4.2239,API Rest
40,have,1172.1233,1175.6335,3.5102,API Rest
41,thee,1175.6694,1179.3873,3.7179,API Rest
42,"not,",1179.4221,1183.812,4.3899,API Rest
43,and,1183.8539,1187.9598,4.1059,API Rest
44,yet,1187.9995,1191.4614,3.4619,API Rest
45,I,1191.4969,1195.2154,3.7185,API Rest
46,see,1195.2496,1199.1726,3.923,API Rest
47,thee,1199.2092,1204.1267,4.9175,API Rest
48,still.,1204.1827,1207.9051,3.7224,API Rest
49,Art,1207.9405,1211.6103,3.6698,API Rest
50,thou,1211.6458,1215.3381,3.6923,API Rest
51,"not,",1215.3735,1219.2273,3.8538,API Rest
52,fatal,1219.2654,1222.736,3.4706,API Rest
53,"vision,",1222.7711,1226.6948,3.9237,API Rest
54,sensible,1226.7294,1230.649,3.9196,API Rest
55,To,1230.6892,1234.3683,3.6791,API Rest
56,feeling,1234.4046,1237.864,3.4594,API Rest
57,as,1237.9,1241.2921,3.3921,API Rest
58,to,1241.3369,1246.2774,4.9405,API Rest
59,sight?,1246.3834,1251.9583,5.5749,API Rest
60,Or,1251.9974,1256.8466,4.8492,API Rest
61,art,1256.9171,1262.4166,5.4995,API Rest
62,thou,1262.455,1266.9806,4.5256,API Rest
63,but,1267.0499,1272.265,5.2151,API Rest
64,A,1272.3048,1277.7328,5.428,API Rest
65,dagger,1277.7862,1282.7312,4.945,API Rest
66,of,1282.7704,1286.5528,3.7824,API Rest
67,the,1286.6087,1291.5379,4.9292,API Rest
68,"mind,",1291.6072,1296.1955,4.5883,API Rest
69,a,1296.2452,1300.654,4.4088,API Rest
70,false,1300.703,1304.9768,4.2738,API Rest
71,creation,1305.0593,1311.7313,6.672,API Rest
72,Proceeding,1311.7814,1316.1515,4.3701,API Rest
73,from,1316.2034,1320.1475,3.9441,API Rest
74,the,1320.1857,1324.8027,4.617,API Rest
75,heat-oppressèd,1324.8413,1330.5949,5.7536,API Rest
76,brain?,1330.6543,1335.0432,4.3889,API Rest
77,I,1335.0918,1339.1528,4.061,API Rest
78,see,1339.1912,1343.6336,4.4424,API Rest
79,thee,1343.6924,1348.4656,4.7732,API Rest
80,"yet,",1348.5467,1352.9504,4.4037,API Rest
81,in,1352.9869,1357.0444,4.0575,API Rest
82,form,1357.094,1361.4032,4.3092,API Rest
83,as,1361.438,1365.1413,3.7033,API Rest
84,palpable,1365.1822,1368.7765,3.5943,API Rest
85,As,1368.8132,1372.6134,3.8002,API Rest
86,this,1372.6582,1376.7787,4.1205,API Rest
87,which,1376.8325,1381.0863,4.2538,API Rest
88,now,1381.1246,1384.7611,3.6365,API Rest
89,I,1384.8117,1388.5089,3.6972,API Rest
90,draw.He,1388.5455,1393.7538,5.2083,API Rest
91,draws,1393.8606,1397.4209,3.5603,API Rest
92,his,1397.4574,1400.9985,3.5411,API Rest
93,dagger.,1401.0337,1404.4678,3.4341,API Rest
94,Thou,1404.5019,1408.5847,4.0828,API Rest
95,marshal’st,1408.619,1412.6655,4.0465,API Rest
96,me,1412.7027,1417.425,4.7223,API Rest
97,the,1417.4648,1421.0328,3.568,API Rest
98,way,1421.0895,1424.7743,3.6848,API Rest
99,that,1424.8086,1428.667,3.8584,API Rest
100,I,1428.7241,1433.2328,4.5087,API Rest
101,was,1433.2838,1437.0504,3.7666,API Rest
102,"going,",1437.0978,1440.7752,3.6774,API Rest
103,And,1440.8095,1444.7789,3.9694,API Rest
104,such,1444.8178,1448.3833,3.5655,API Rest
105,an,1448.4438,1451.9342,3.4904,API Rest
106,instrument,1451.9887,1456.3813,4.3926,API Rest
107,I,1456.4232,1459.9572,3.534,API Rest
108,was,1459.9906,1463.4712,3.4806,API Rest
109,to,1463.5087,1467.0729,3.5642,API Rest
110,use.,1467.1095,1471.948,4.8385,API Rest
111,Mine,1471.985,1476.2892,4.3042,API Rest
112,eyes,1476.3243,1479.8519,3.5276,API Rest
113,are,1479.8958,1483.7122,3.8164,API Rest
114,made,1483.7572,1488.7795,5.0223,API Rest
115,the,1488.8347,1492.5174,3.6827,API Rest
116,fools,1492.5519,1496.2592,3.7073,API Rest
117,o’,1496.3003,1500.3114,4.0111,API Rest
118,th’,1500.3628,1504.2582,3.8954,API Rest
119,other,1504.2949,1508.0428,3.7479,API Rest
120,senses,1508.1169,1511.781,3.6641,API Rest
121,Or,1511.8174,1515.7844,3.967,API Rest
122,else,1515.904,1520.9621,5.0581,API Rest
123,worth,1521.0274,1524.6274,3.6,API Rest
124,all,1524.6843,1528.2189,3.5346,API Rest
125,the,1528.2567,1532.3985,4.1418,API Rest
126,rest.,1532.4396,1536.832,4.3924,API Rest
127,I,1536.8802,1540.8474,3.9672,API Rest
128,see,1540.8917,1544.3539,3.4622,API Rest
129,thee,1544.3981,1549.598,5.1999,API Rest
130,"still,",1549.6538,1553.3185,3.6647,API Rest
131,"And,",1553.3582,1556.8433,3.4851,API Rest
132,on,1556.877,1560.7804,3.9034,API Rest
133,thy,1560.825,1566.6491,5.8241,API Rest
134,blade,1566.7167,1571.0178,4.3011,API Rest
135,and,1571.0557,1575.2568,4.2011,API Rest
136,"dudgeon,",1575.3042,1580.8153,5.5111,API Rest
137,gouts,1580.9353,1585.3048,4.3695,API Rest
138,of,1585.3567,1589.2558,3.8991,API Rest
139,"blood,",1589.3054,1593.7498,4.4444,API Rest
140,Which,1593.7859,1597.9,4.1141,API Rest
141,was,1597.938,1603.1004,5.1624,API Rest
142,not,1603.1373,1607.0247,3.8874,API Rest
143,so,1607.0777,1610.9481,3.8704,API Rest
