,string,start_ms,end_ms,latency_ms
0,G,932.9764,938.8305,5.854100000000017
1,o,938.8972,939.6757,0.7785000000000082
2, ,939.7091,940.4835,0.7744000000000142
3,b,940.5307,941.32,0.7893000000000256
4,i,941.3548,942.0558,0.7010000000000218
5,d,942.0864,942.7111,0.6246999999999616
6, ,942.7444,943.3945,0.6500999999999522
7,t,943.4247,944.0439,0.619199999999978
8,h,944.0884,944.4736,0.3852000000000544
9,y,945.1316,945.5575,0.425899999999956
10, ,945.5872,945.9502,0.3629999999999427
11,m,945.9793,946.327,0.34770000000003165
12,i,946.3561,946.7252,0.3691000000000031
13,s,946.7532,947.0903,0.337099999999964
14,t,947.123,947.4217,0.2986999999999398
15,r,947.4568,947.9987,0.5418999999999414
16,e,948.0614,948.8038,0.7423999999999751
17,s,948.8513,949.4833,0.6319999999999482
18,s,949.5198,950.0882,0.5683999999999969
19,",",950.1264,950.6016,0.47519999999997253
20, ,950.649,951.0475,0.39850000000001273
21,w,951.0768,951.3954,0.3185999999999467
22,h,951.4244,951.8051,0.3807000000000471
23,e,951.8332,952.1885,0.3552999999999429
24,n,952.2168,952.5579,0.3410999999999831
25, ,952.5882,952.971,0.3827999999999747
26,m,953.0005,953.3895,0.38900000000001
27,y,953.4221,953.7699,0.34780000000000655
28, ,953.7988,954.1678,0.3690000000000282
29,d,954.1972,954.5944,0.397199999999998
30,r,954.6239,954.993,0.3691000000000031
31,i,955.0218,955.3735,0.35170000000005075
32,n,955.4022,955.7745,0.37229999999999563
33,k,955.804,956.1655,0.36149999999997817
34, ,956.1945,956.529,0.3345000000000482
35,i,956.5651,956.9636,0.39850000000001273
36,s,956.9929,957.3304,0.33750000000009095
37, ,957.359,957.7204,0.3614000000000033
38,r,957.7493,958.1118,0.3625000000000682
39,e,958.1437,958.506,0.36230000000000473
40,a,958.5351,958.8968,0.36169999999992797
41,d,958.9254,959.3028,0.37740000000007967
42,y,959.3317,959.6972,0.36549999999999727
43,",",959.726,960.149,0.4230000000000018
44, ,960.1773,960.5269,0.34960000000000946
45,S,960.5614,960.9817,0.42029999999999745
46,h,961.0112,961.3546,0.34339999999997417
47,e,961.3847,961.6939,0.30920000000003256
48, ,961.722,962.0357,0.31370000000003984
49,s,962.0638,962.378,0.314200000000028
50,t,962.4116,962.7387,0.3270999999999731
51,r,962.7665,963.0639,0.29740000000003874
52,i,963.0919,963.6143,0.5223999999999478
53,k,963.6718,964.3131,0.6413000000000011
54,e,964.3938,965.0199,0.6260999999999513
55, ,965.0595,965.5881,0.5286000000000968
56,u,965.6196,966.0024,0.3827999999999747
57,p,966.033,966.4339,0.4008999999999787
58,o,966.4629,966.8434,0.38049999999998363
59,n,966.8774,967.2792,0.4017999999999802
60, ,967.3083,967.6993,0.3909999999999627
61,t,967.7278,968.0891,0.3613000000000284
62,h,968.1177,968.4571,0.33939999999995507
63,e,968.4889,968.8225,0.33360000000004675
64, ,968.8516,969.1618,0.3102000000000089
65,b,969.1916,969.6074,0.4157999999999902
66,e,969.6471,970.007,0.35989999999992506
67,l,970.5485,971.0451,0.49660000000005766
68,l,971.3591,971.9116,0.5525000000000091
69,.,971.9462,972.274,0.32780000000002474
70, ,972.3158,972.6335,0.31770000000005894
71,G,972.6621,973.0609,0.3987999999999374
72,e,973.3694,973.7245,0.3550999999999931
73,t,973.9568,974.3344,0.3775999999999158
74, ,975.2346,975.6206,0.38599999999996726
75,t,975.7485,976.1396,0.3910999999999376
76,h,976.1677,976.4738,0.3061000000000149
77,e,977.0247,977.3627,0.33799999999996544
78,e,977.4714,977.8262,0.3547999999999547
79, ,977.8552,978.2101,0.3549000000000433
80,t,978.2398,978.6048,0.3650000000000091
81,o,978.6331,978.9988,0.36569999999994707
82, ,979.0507,979.5165,0.4657999999999447
83,b,979.5681,980.057,0.48890000000005784
84,e,980.1096,980.5993,0.4896999999999707
85,d,980.6456,981.1145,0.46890000000007603
86,.,981.1487,981.5366,0.38790000000005875
87, ,981.5663,981.8851,0.3188000000000102
88,S,982.1057,982.4768,0.3711000000000695
89,e,982.5102,982.8445,0.3342999999999847
90,r,982.8742,983.208,0.33379999999999654
91,v,983.3916,983.7131,0.32150000000001455
92,a,983.742,984.0575,0.31550000000004275
93,n,984.0875,984.3976,0.310100000000034
94,t,984.4268,984.7386,0.311800000000062
95, ,984.9417,985.2479,0.3061999999999898
96,e,985.9615,986.2869,0.32539999999994507
97,x,986.4883,986.8603,0.37200000000007094
98,i,986.8891,987.2053,0.3161999999999807
99,t,987.3816,987.6939,0.3122999999999365
100,s,987.7231,988.0507,0.32759999999996126
101,.,988.0798,988.3791,0.29930000000001655
102, ,988.4078,988.7175,0.30970000000002074
103,I,988.7462,989.0775,0.331299999999942
104,s,989.1066,989.4133,0.3067000000000917
105, ,989.4418,989.7396,0.297800000000052
106,t,989.7681,990.0872,0.31910000000004857
107,h,990.2713,990.5815,0.3102000000000089
108,i,990.6212,990.9527,0.33150000000000546
109,s,990.9821,991.3719,0.38980000000003656
110, ,991.4052,991.8122,0.4069999999999254
111,a,991.8434,992.1942,0.3508000000000493
112, ,992.2247,992.5353,0.3106000000000222
113,d,992.5651,992.8762,0.31110000000001037
114,a,992.9059,993.2211,0.31520000000000437
115,g,993.87,994.3957,0.5257000000000289
116,g,994.4345,994.8825,0.44800000000009277
117,e,994.9378,995.4649,0.5270999999999049
118,r,995.4993,996.1521,0.6528000000000702
119, ,996.1902,996.5861,0.39589999999998327
120,w,996.6188,996.9791,0.360300000000052
121,h,997.0433,997.3922,0.3488999999999578
122,i,997.4228,997.7624,0.33959999999990487
123,c,997.7925,998.1179,0.32539999999994507
124,h,998.3836,998.7192,0.33559999999999945
125, ,998.7499,999.0883,0.3383999999999787
126,I,999.1218,999.449,0.327199999999948
127, ,999.4928,999.8509,0.35810000000003583
128,s,999.8797,1000.1905,0.3108000000000857
129,e,1000.2197,1000.5622,0.3424999999999727
130,e,1000.5923,1000.9357,0.34339999999997417
131, ,1000.9654,1001.2847,0.31929999999999836
132,b,1001.3139,1001.6201,0.3061999999999898
133,e,1001.6494,1001.9766,0.327199999999948
134,f,1002.006,1002.318,0.3120000000000118
135,o,1002.3467,1002.6516,0.3048999999999751
136,r,1002.6805,1003.0171,0.3365999999999758
137,e,1003.0487,1003.3652,0.3164999999999054
138, ,1003.3946,1003.7081,0.31349999999997635
139,m,1003.737,1004.056,0.31900000000007367
140,e,1004.0959,1004.4247,0.3288000000000011
141,",",1004.454,1004.7663,0.3123000000000502
142, ,1004.8061,1005.1133,0.30719999999996617
143,T,1005.142,1005.51,0.36799999999993815
144,h,1005.5401,1005.8657,0.32559999999989486
145,e,1005.8989,1006.2358,0.3369000000000142
146, ,1006.2652,1006.5868,0.32159999999998945
147,h,1006.6297,1006.948,0.318300000000022
148,a,1006.9774,1007.3164,0.3390000000000555
149,n,1007.3488,1007.6807,0.33190000000001874
150,d,1007.7102,1008.0299,0.31970000000001164
151,l,1008.0586,1008.3574,0.2988000000000284
152,e,1008.3862,1008.6994,0.313199999999938
153, ,1008.7276,1009.0483,0.320699999999988
154,t,1009.0778,1009.3739,0.296100000000024
155,o,1009.4028,1009.7487,0.34590000000002874
156,w,1009.7783,1010.0958,0.31750000000010914
157,a,1010.1249,1010.4515,0.3265999999999849
158,r,1010.4812,1010.8171,0.33590000000003783
159,d,1010.8458,1011.2009,0.3550999999999931
160, ,1011.2305,1011.5422,0.31169999999997344
161,m,1011.5709,1011.8735,0.302599999999984
162,y,1011.9021,1012.2392,0.337099999999964
163, ,1012.2713,1012.6218,0.3505000000000109
164,h,1012.6518,1012.9561,0.304300000000012
165,a,1012.985,1013.423,0.4379999999999882
166,n,1013.4538,1013.7812,0.32740000000001146
167,d,1013.8113,1014.1677,0.3564000000000078
168,?,1014.2124,1014.5605,0.34810000000004493
169, ,1014.591,1014.94,0.3490000000000464
170,C,1014.9697,1015.2794,0.30970000000002074
171,o,1015.3086,1015.6488,0.3402000000000953
172,m,1015.6797,1016.0027,0.3229999999999791
173,e,1016.032,1016.3409,0.3088999999999942
174,",",1016.3734,1016.693,0.31960000000003674
175, ,1016.7248,1017.066,0.34120000000007167
176,l,1017.0955,1017.3944,0.2989000000000033
177,e,1017.4226,1017.7542,0.33159999999998035
178,t,1017.7936,1018.1352,0.34160000000008495
179, ,1018.1634,1018.4743,0.3108999999999469
180,m,1018.503,1018.8253,0.3222999999999274
181,e,1018.854,1019.1617,0.30769999999995434
182, ,1019.1905,1019.4844,0.2939000000000078
183,c,1019.5132,1019.8406,0.32740000000001146
184,l,1019.8693,1020.1772,0.3079000000000178
185,u,1020.2055,1020.5391,0.33359999999993306
186,t,1020.5681,1020.8802,0.3120999999999867
187,c,1020.9084,1021.3043,0.39589999999998327
188,h,1021.3353,1021.6391,0.30380000000002383
189, ,1021.6677,1022.0093,0.34160000000008495
190,t,1022.0383,1022.3414,0.30309999999997217
191,h,1022.3701,1022.6653,0.29520000000002256
192,e,1022.6939,1023.0129,0.31899999999996
193,e,1023.0411,1023.3656,0.3244999999999436
194,.,1023.3947,1023.6881,0.29340000000001965
195, ,1023.7204,1024.0299,0.30949999999995725
196,I,1024.0593,1024.3773,0.318000000000211
197, ,1024.4058,1024.7483,0.3424999999999727
198,h,1024.7844,1025.09,0.30559999999991305
199,a,1025.1186,1025.4718,0.3532000000000153
200,v,1025.5036,1025.8736,0.36999999999989086
201,e,1025.9029,1026.2204,0.31749999999988177
202, ,1026.2529,1026.578,0.3251000000000204
203,t,1026.6066,1026.9276,0.3209999999999127
204,h,1026.9564,1027.2544,0.2980000000000018
205,e,1027.2827,1027.5966,0.3139000000001033
206,e,1027.638,1027.9455,0.30750000000011823
207, ,1027.9737,1028.284,0.3103000000000975
208,n,1028.3131,1028.6285,0.31539999999995416
209,o,1028.6576,1028.9812,0.32359999999994216
210,t,1029.0101,1029.3737,0.36360000000013315
211,",",1029.4052,1029.7654,0.3602000000000771
212, ,1029.7972,1030.1528,0.35560000000009495
213,a,1030.1843,1030.4941,0.30979999999999563
214,n,1030.524,1030.8819,0.3579000000001997
215,d,1030.9143,1031.2349,0.3206000000000131
216, ,1031.2651,1031.5675,0.3024000000000342
217,y,1031.6078,1031.9403,0.3324999999999818
218,e,1031.9699,1032.2691,0.29919999999992797
219,t,1032.2971,1032.5967,0.29960000000005493
220, ,1032.6291,1032.9331,0.30399999999985994
221,I,1032.9628,1033.3176,0.3548000000000684
222, ,1033.3536,1033.7625,0.4089000000001306
223,s,1033.7971,1034.1723,0.3751999999999498
224,e,1034.2045,1034.6565,0.4519999999999982
225,e,1034.686,1035.0084,0.322400000000016
226, ,1035.0377,1035.337,0.29929999999990287
227,t,1035.3654,1035.6821,0.3167000000000826
228,h,1035.7214,1036.0305,0.30910000000017135
229,e,1036.0597,1036.3564,0.2966999999998734
230,e,1036.3852,1036.7225,0.33730000000014115
231, ,1036.7512,1037.0587,0.30750000000011823
232,s,1037.087,1037.4206,0.33359999999993306
233,t,1037.4508,1037.7843,0.33349999999995816
234,i,1037.8178,1038.1435,0.32569999999986976
235,l,1038.1739,1038.5031,0.3291999999999007
236,l,1038.5449,1038.8771,0.33219999999982974
237,.,1038.9065,1039.2118,0.30529999999998836
238, ,1039.2401,1039.5714,0.33130000000005566
239,A,1039.6014,1039.9246,0.32320000000004256
240,r,1039.9532,1040.2823,0.32910000000015316
241,t,1040.3109,1040.6199,0.3089999999999691
242, ,1040.6489,1040.9567,0.30780000000004293
243,t,1040.9959,1041.328,0.3321000000000822
244,h,1041.3564,1041.6801,0.32370000000014443
245,o,1041.7916,1042.1743,0.38269999999988613
246,u,1042.2041,1042.5565,0.3523999999999887
247, ,1042.5855,1042.8931,0.30760000000009313
248,n,1042.9329,1043.2429,0.30999999999994543
249,o,1043.2718,1043.5938,0.3220000000001164
250,t,1043.6263,1043.9625,0.3362000000001899
251,",",1043.991,1044.2995,0.3085000000000946
252, ,1044.3281,1044.6752,0.3470999999999549
253,f,1044.704,1045.0123,0.3083000000001448
254,a,1045.041,1045.4046,0.36360000000013315
255,t,1045.4385,1045.8245,0.38599999999996726
256,a,1045.857,1046.2521,0.3950999999999567
257,l,1046.3009,1046.7207,0.41980000000012296
258, ,1046.7552,1047.1348,0.3795999999999822
259,v,1047.1658,1047.5133,0.34750000000008185
260,i,1047.543,1047.8691,0.3260999999999967
